SpotterId,ID1,NomeEmpresa,RazaoSocial,StatusEmpresa,CadastroEmpresa,TelefoneEmpresa,LimiteUsuarios
24,09008497000169,DYNAMOX,DYNAMOX SOLUCOES CRIATIVAS LTDA ­ ME,Inativo,2015-07-06,,5000
25,13729366000148,WIER,WIER TECNOLOGIA PLASMA E OZONIO LTDA,Inativo,2015-07-06,(48) 99109-5366,5
26,03602373000120,Geonumerics,Geonumerics,Inativo,2015-07-06,(48) 3225-4626,5000
27,08398459000105,KOMBO,KOMBO DESENVOLVIMENTO E COMERCIO DE SOFTWARES LTDA,Inativo,2015-07-10,(48) 3374-4373,5000
28,13372575000187,SOCIALBASE,SOCIALBASE SOLUçõES EM TECNOLOGIA LTDA,Inativo,2015-07-12,,5000
29,08689089000157,TOCCATO,Toccato Tecnologia Em Sistemas Ltda,Inativo,2015-07-16,,5000
30,20308093000123,BONAE,BONAE BRASIL ALIMENTOS LTDA,Inativo,2015-07-21,,5000
31,05577086000133,TINTAS NOBRE,FREE TINTAS LTDA,Inativo,2015-07-22,,5000
32,19664563000102,HORUS,Hórus aeronaves LTDA,Inativo,2015-07-24,,5000
33,13021784000186,Resultados Digitais,RD GESTAO E SISTEMAS S.A.,Inativo,2015-07-27,,5000
34,04067363000103,UATT,BIASOTTO & CIA LTDA EPP,Inativo,2015-08-03,,5000
35,24582955000162,ClipEscola,ClipEscola Ltda,Inativo,2015-08-06,,5000
36,04380970000110,InfoBR,INFOBR SISTEMAS CORPORATIVOS,Inativo,2015-08-06,(48) 3034-2101,5000
37,80984156000193,Directa Automação,Directa Automação,Inativo,2015-08-07,,5000
38,15802154000174,FITNESS ONE,"FUTURE COMERCIO E LOCAÇÃO DE EQUIPAMENTOS LTDA,",Inativo,2015-08-07,,5000
39,11389291000178,SOFIT,SOFIT SOFTWARE SA,Inativo,2015-08-11,,5000
41,11518456000164,FOREBRAIN,FOREBRAIN NEUROTECNOLOGIA LTDA,Inativo,2015-08-14,,5000
42,06354649000197,MOBILIZA,Mobiliza Tecnologia da Informação LTDA EPP,Inativo,2015-08-17, 48 3222-1905,5
43,07876961000103,ADEPT,Adept Comércio de Software Ltda,Inativo,2015-08-19,(48) 3031-5050,5000
44,00810559000187,Express,EXPRESS RESTAURANTES EMPRESARIAIS,Inativo,2015-08-20,,5000
45,03602144000106,Landix,LANDIX SISTEMAS LTDA,Ativo,2015-08-20,,5000
46,03308401000100,Vertigo,VERTIGO COMPUTAÇÃO LTDA,Inativo,2015-08-24,,5000
47,798899780001­06,Procel,PROCEL INFORMATICA LTDA ­ EPP,Inativo,2015-08-25,,5000
48,08528939000135,Celtec,CELTEC RASTREAMENTO LTDA ­ EPP,Inativo,2015-08-25,,5000
49,13715118000148,Pratical One,PRATICAL ONE TECNOLOGIA E CONSULTORIA LTDA ­ ME,Inativo,2015-08-26,,5000
50,00089877000109,Teclogica,TECLOGICA SERVIÇOS EM INFORMÁTICA LTDA,Ativo,2015-08-28,,5000
51,05158228000128,OPENS TECNOLOGIA,OPENS TECNOLOGIA,Inativo,2015-08-28,,5000
52,07669168000133,INTECH,INTECH SOLUÇÕES EM TECNOLOGIA DA INFORMAÇÃO LTDA.,Inativo,2015-08-31,,5000
53,79283297000108,LÍNEA,Linea Industria de Moveis Eireli - Me,Inativo,2015-08-31,,5000
54,10789486000142,Promove,PROMOVE SOLUÇÕES EM SISTEMAS E SOFTWARE LTDA,Inativo,2015-09-03,,5000
56,06068735000133,Cortex,CORTEX INTELLIGENCE TECNOLOGIA SA,Inativo,2015-09-08,,5000
57,14202486000155,MYREKS,MYREKS SOLUÇÕES TECNOLÓGICAS S.A.,Inativo,2015-09-09,,5000
58,11747686000103,Finxi,FINXI TECNOLOGIA SA ,Inativo,2015-09-10,,5000
60,76370998000188,RÁDIO GUARAREMA,RÁDIO GUARAREMA LTDA,Inativo,2015-09-14,,5000
62,18958585000112,DEV,DEV TECNOLOGIA INDúSTRIA COMéRCIO E MANUTENçãO DE EQUIPAMENTOS LTDA ME,Inativo,2015-09-15,,5000
63,20726292000151,Xeque Mate,,Inativo,2015-09-15,,5000
64,01021501000117,Ibratan,T.A.N TECNOLOGIA DA INFORMAÇÃO APLICADA A NEGÓCIOS LTDA. (IBRATAN),Inativo,2015-09-17,(47)9972-7045,5000
65,11516618000125,IW,IW INTELIGÊNCIA WEB COMUNICAÇÃO E SISTEMAS LTDA - ME,Inativo,2015-09-21,,5000
66,08202415000150,AHGORA,AHGORA SISTEMAS LTDA,Inativo,2015-09-23,,5000
67,10988253000179,Íonz,ÍONZ COMUNICAçãO INTERATIVA LTDA,Inativo,2015-09-23,,5000
68,03899868000163,PROSCORE,CHEQUE-PRE.COM - TECNOLOGIA DA INFORMACAO LTDA.,Inativo,2015-09-23,,5000
69,82653726000198,Datacoper,Datacoper Software LTDA - EPP,Inativo,2015-09-23,(48) 3220.5597,5000
70,15821195000108,Primer Pisos,PRIMER PISOS EIRELI,Inativo,2015-09-24,,5000
71,21722534000100,Base Alimentos (CANTO),CANTO COMÉRCIO DE ALIMENTOS LTDA EPP,Inativo,2015-09-30,,5000
72,08215645000153,SOLID,SOLID INVENT INDÚSTRIA DE PRODUTOS ELETRONICOS LTDA,Inativo,2015-10-01,,5000
73,07322649000178,Nomus,NOMUS CONSULTORIA E DESENVOLVIMENTO EM TECNOLOGIA DE GESTÃO LTDA,Ativo,2015-10-01,,5000
74,81361644000107,IONICS,IONICS INFORMA´TICA E AUTOMAC¸A~O LTDA,Inativo,2015-10-01,,5000
75,14822675000120,SERVEDO.IN,SERVERDO SERVICOS DE INFORMATICA LTDA,Inativo,2015-10-01,,5000
76,08399021000133,SWA,SWA SISTEMAS ACADÊMICOS LTDA,Inativo,2015-10-03,,5000
77,21090380000172,E-Tech,E.Tech Distribuidora de Equipamentos de Informatica Ltda - ME,Inativo,2015-10-03,,5000
78,09168506000189,Digital Doc,DIGITALDOC SOFTWARE LTDA - ME (DIGITALDOC),Inativo,2015-10-07,(45) 9967-5760,5000
79,00056633000111,Tecnoblu,TECNOBLU S.A IND COM,Inativo,2015-10-08,,5000
80,04441528000157,Bry,BRY TECNOLOGIA S/A,Inativo,2015-10-08,,5000
81,82619446000163,Priori,PRIORI INFORMATICA LTDA,Inativo,2015-10-08,(45) 8404-1802,5000
82,06927957000164,SÁBIA,SÁBIA EXPERIENCE TECNOLOGIA S.A,Inativo,2015-10-09,,5000
83,19004863000165,ÁRVORE DE LIVROS,ÁRVORE DE LIVROS COMÉRCIO DISTRIBUIÇÃO E SERVIÇOS SA,Inativo,2015-10-09,,5000
84,08689089000157,Toccato - Pós-venda,TOCCATO TECNOLOGIA EM SISTEMA LTDA,Inativo,2015-10-12,,5000
86,14654493000198,TWIST,TWIST SISTEMAS E SOLUÇÕES EM INFORMÁTICA LTDA.,Inativo,2015-10-14,,5000
87,09177771000123,Sovis Sistemas,SOVIS SERVICOS EM TECNOLOGIA DA INFORMACAO LTDA,Inativo,2015-10-16,,5000
88,20005537000151,Bonuz,BONUZ PROGRAMA DE FIDELIDADE,Inativo,2015-10-19,,5000
90,07291725000125,Prognus,PROGNUS SOLUCOES LIVRES EM TECNOLOGIA DA INFORMACAO LTDA. ­ EPP,Inativo,2015-10-19,,5000
91,12819834000102,Taller,TALLER LTDA,Inativo,2015-10-26,48 9955-3270,5000
92,04052878000121,Alerta Segurança,,Inativo,2015-10-28,,5000
93,03181718000110,AERO INFORMATICA,AERO INFORMATICA LTDA,Inativo,2015-11-03,,5000
94,19663031000150,3D Protos,3D Protos Industria e Comercio de Prototipos Ltda,Inativo,2015-11-04,fernando@3dprotos.com.br,5000
95,07250845000184,Infominas,Infodec Tecnologia e Informatica Ltda - ME,Inativo,2015-11-04,,5000
96,16370973000152,Cognitiva,Cognitiva Brasil-Tecnologias Educacionais Ltda - ME,Inativo,2015-11-04,,5000
98,06287921000163,Dinamac,Dinamac Industria e Comercio de Equipamentos Hidraulicos Ltda - Epp,Inativo,2015-11-05,,5000
100,18008594000142,SMARTBILL,SMARTBILL SERVIÇOS E SISTEMAS S.A,Inativo,2015-11-06,,5000
101,14777835000167,DSW,DSW SOLUCOES DIGITAIS LTDA,Inativo,2015-11-06,,5000
102,12694308000163,Colmeia,COLMÉIA SOLUÇÕES LTDA - ME,Inativo,2015-11-08,,5000
103,01894253000119,Manpower,Manpower Group Brasil,Inativo,2015-11-09,,5000
104,82845322000104,Softplan,SOFTPLAN PLANEJAMENTO E SISTEMAS LTDA,Inativo,2015-11-11,(48) 9943-9819,5000
105,20711725000103,Rilix,RILIX LTDA EPP,Inativo,2015-11-11,(47) 9678-8888,5000
106,18319172000198,Tekoa,TEKOA INFORMAÇÃO E CONECTIVIDADE EIRELI,Inativo,2015-11-11,(48) 8421-9795,5000
107,18042951000199,Já Entendi,Aleteia Tecnologia S/A,Inativo,2015-11-11,(41) 3026-0908,5000
108,04022193000132,Datacom,DATACOM CONSULTORIALTDA,Inativo,2015-11-13,,5000
109,03353132000195,Making, Making Consultoria E Sistemas Limitada - Epp,Inativo,2015-11-13,,5000
110,19669299000108,Treasy,Treasy - Treasy Sistemas Ltda. - ME,Inativo,2015-11-15,,5000
111,19687738000105,Imersio,IMMERSION 3D - IMERSÃO SOFTWARE EM AMBIENTE VIRTUAL 3D LTDA - ME,Inativo,2015-11-16,,5000
112,07304436000113,Glóbulo,Globulo - Celula Criativa - Globulo Publicidade & Assessoria Em Marketing Ltda - ME,Inativo,2015-11-16,,5000
113,23278271000109,Pra Vender,Não informada,Inativo,2015-11-16,,5000
114,04751393000126,Substractum,Substractum Tecnologia Ltda - Epp,Inativo,2015-11-16,,5000
116,02453000000172,Daryus,DARYUS CENTRO EDUCACIONAL E PROC.DE DADOS LTDA,Inativo,2015-11-17,,5000
117,23228658000150,ABLAB,ABLAB CONTEUDO E SERVICOS DA INFORMACAO EIRELI EPP,Inativo,2015-11-17,,5000
118,19216455000177,PATHFIND,PATHFIND SOLUÇÕES DE TECNOLOGIA EM LOGISTICA LTDA,Inativo,2015-11-17,,5000
119,87133666000104,Grupo A,Grupo A Educacao S/A,Inativo,2015-11-17,,5000
120,05623256000179,INSIDE,INSIDE SISTEMAS LTDA,Ativo,2015-11-17,,5000
121,22349141000157,MNASS,MNASS IMOVEIS ONE,Inativo,2015-11-17,,5000
122,27924896000151,Indaiá Eventos,IND SERVIÇOS PARA EVENTOS 01 EIRELI,Inativo,2015-11-17,47 999241827,5
123,03734487000124,IMPACTA,UNIÃO EDUCACIONAL E TECNOLOGICA IMPACTA UNI.IMPACTA,Inativo,2015-11-17,,5000
124,18196037000100,Studos,LEONARDO LATRONICO PRATES TECNOLOGIA ME,Inativo,2015-11-17,,5000
125,05756522000131,Kuak,Não identificado,Inativo,2015-11-18,,5000
126,02683952000182,Brasão Sistemas,BRASAO SISTEMAS LTDA,Inativo,2015-11-18,,5000
127,,Desk 14,Não informado,Inativo,2015-11-18,,5000
128,16934018000109,Emprezaz,G. N. TOMIO ME,Inativo,2015-11-18,,5000
130,07274801000194,Ostec,OSTEC BUSINESS SECURITY,Inativo,2015-11-18,,5000
131,23316259000141,QA Metrik,Não informado,Inativo,2015-11-18,,5000
132,03700040000134,Troia,Troia Consultoria Empresarial Sc Ltda,Inativo,2015-11-18,,5000
133,19661006000138,Viddheo,SIGA O RASTRO LTDA - ME (VIDDHEO / MEETIME),Inativo,2015-11-18,000000000,5000
134,18357748000101,Kryzalis,Kryzallis Soluções Digitais LTDA. ME.,Inativo,2015-11-18,,5000
135,13855433000170,Kemper,KEMPER BRASIL COMERCIO DE ISOLANTES LTDA,Inativo,2015-11-18,,5000
136,21423671000135,KIPER,KIPER TECNOLOGIA LTDA,Inativo,2015-11-18,,5000
137,08710305000107,I-Park Catedra,I-PARK ESTACIONAMENTOS INTELIGENTES S/A,Inativo,2015-11-19,(48) 3433-2680,5000
138,09331575000161,H2J,H2J SOLUCOES CORPORATIVAS EM GESTAO LTDA,Inativo,2015-11-19,(49) 3646-0020,5000
139,13526872000130,Django,AVANTI & DJANGO MIDIA E TECNOLOGIA LTDA - ME,Inativo,2015-11-19,,5000
140,17604812000149,Castro e Barros,CASTRO & BARROS DESENVOLVIMENTO DE SOFTWARES LTDA ­ ME,Inativo,2015-11-19,,5000
141,15032902000187,Gabster,GABSTER SERVIÇOS EM TECNOLOGIA DA INFORMAÇÃO LTDA,Inativo,2015-11-19,,5000
142,16617445000155,LAMY & FARACO LAMY,LAMY & FARACO,Inativo,2015-11-19,,5000
143,10769033000154,SENSORWEB,SENSORWEB SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO LTDA,Ativo,2015-11-23,,5000
144,09132090000149,ZUMERATA,ZUMERATA DESENVOLVIMENTO DE SISTEMAS LTDA ME,Inativo,2015-11-24,,5000
145,08879628000110,QUIRIUS,QUIRIUS SOLUCOES EM INFORMATICA LTDA EPP,Inativo,2015-11-26,,5000
146,21821237000103,Printup 3D,MENDES E KNORST LTDA - EPP,Inativo,2015-11-27,,5000
147,03040655000181,Via Brasil Trade,VIA BRASIL TRADING COMERCIAL IMPORTADORA E EXPORTADORA LTDA. - ME,Inativo,2015-12-01,,5000
148,19697992000186,Avanti tecnologia e marketing,Avanti tecnologia e marketing,Inativo,2015-12-01,,5000
149,13233495000140,Clint,AGÊNCIA DIGITAL CLINT,Inativo,2015-12-01,,5000
150,03392479000147,PCTEL,PCTEL Eletronica Ltda,Inativo,2015-12-01,,5000
151,05572270000190,New Comex,NEWCOMEX ASSESSORIA EM COMÉRCIO EXTERIOR,Inativo,2015-12-01,,5000
152,18843171000148,BTI,BTI ESTRATEGICA CONSULTORIA EM TI LTDA,Inativo,2015-12-03,,5000
153,74092487000116,Tecinco,TECINCO TECNOLOGIA LTDA,Inativo,2015-12-03,,5000
154,04124390000162,HIGRA INDUSTRIAL LTDA,HIGRA INDUSTRIAL LTDA,Inativo,2015-12-03,,5000
155,19255005000193,QE2 INOVA LTDA – EPP,QE2 INOVA LTDA – EPP,Inativo,2015-12-03,,5000
157,13368462000108,Apitec,APINOX MAQUINAS E EQUIPAMENTOS LTDA,Inativo,2015-12-03,,5000
158,13237736000120,W Pensar,W Pensar S.A,Inativo,2015-12-04,,5000
159,14689727000132,TECNOSENIOR,TECNOSENIOR COMERCIO E SERVIÇOS EM TECNOLOGIA LTDA,Inativo,2015-12-07,,5000
160,05546620000144,Khor,Khor Tecnologia da Informação,Inativo,2015-12-07,,5000
161,09492015000270,Optidados,Optidados - Optidados Solucoes Opticas Ltda. - ME,Inativo,2015-12-08,(11) 3280-5657,5000
164,06238292000181,HIVE,HIVE COMUNICAÇÃO S.A.,Inativo,2015-12-11,,5000
165,08202677000114,Premier Segurança,PREMIER VIGILANCIA E SEGURANCA LTDA,Inativo,2015-12-12,(08) 20267-7000,5000
167,10639962000149,Estar,ESTAR SERVIÇOS DE INFORMÁTICA LTDA,Inativo,2015-12-16,(31) 2522-9500,5000
168,04570566000100,Segware,SEGWARE DO BRASIL LTDA,Inativo,2015-12-18,,5000
170,14488144000143,Zero Glosa,ZERO GLOSA TECNOLOGIA LTDA,Inativo,2015-12-23,,5000
172,08792570000173,DSI Strategic Vision,Dsi Strategic Vision Sistemas Ltda de Curitiba,Inativo,2016-01-08,(41) 9176-5560,5000
173,20515685000116,Squid,SQUID DIGITAL MEDIA CHANNEL LTDA,Inativo,2016-01-08,(11) 99626-7344,5000
174,21205602000155,Dia Estudio,Dia Estudio Producoes de Videos Ltda - Epp,Inativo,2016-01-08,(48) 9916-7762,5000
175,38792701000183,ON FLAG,SILVIO MARÇAL ORLANDINI MATÃO ME,Inativo,2016-01-12,,5000
176,02250586000178,SOFTDESIGN,SOFTDESIGN CONSULTORIA E SISTEMAS LTDA,Ativo,2016-01-12,,5000
177,23335559000178,AUSTER,"AUSTER ENERGIA, ENGENHARIA E COMERCIO DE MATERIAIS ELÉTRICOS LTDA",Inativo,2016-01-14,,5000
178,13475113000195,Pris,PRIS SOFTWARE LTDA - ME,Inativo,2016-01-14,(31) 2526-6040,5000
179,93655173000552,Meta Organização Contábil,META SERVIÇOS EM INFORMÁTICA LTDA,Inativo,2016-01-18,,5000
180,19697992000186,Avanti,AVANTI DESENVOLVIMENTO DE SISTEMAS LTDA,Inativo,2016-01-19,(48) 8801-4640,5000
181,68737857000122,RBS,RBS Participações S/A,Inativo,2016-01-19,,5000
182,22940419000166,Conaz,Conaz Solucoes Ltda - ME,Inativo,2016-01-21,(48) 9945-7888,5000
184,05241852000194,Multiweb,MULTIWEB TECNOLOGIA LTDA,Inativo,2016-01-21,,5000
185,17207678000142,FFWD,FFWD DESENVOLVIMENTO DE PROGRAMAS LTDA,Inativo,2016-01-22,,5000
186,00884485000123,Hertz,ARQUIPÉLAGO TURISMO S/A,Inativo,2016-01-22,(48) 3229-9955,5000
187,09649446000116,GENOA,GENOA SOLUCOES LTDA,Inativo,2016-01-22,,5000
189,20608385000181,Goomer,RDF SOLUTIONS LTDA - ME,Inativo,2016-01-26,(15) 98103-7574,5000
190,10623217000101,Rapack,RAPACK & TEIXEIRA ROBOTICA E AUTOMACAO LTDA - ME,Inativo,2016-01-26,	(51) 3033-3834,5000
191,04558476000101,Comunique-se,COMUNIQUE-SE COMUNICAÇÃO CORPORATIVA LTDA,Inativo,2016-01-27,(11) 3897-0855,5000
192,13428638000170,GERAFLEX LTDA,GERAFLEX LTDA,Inativo,2016-01-28,,5000
193,03821107000199,Sinergy,SINERGY NOVAS MIDIAS LTDA,Inativo,2016-01-29,(51) 3061-8520,5000
194,08314044000106,QI NETWORK,QI NETWORK SOLUÇÕES TECNOLÓGICAS LTDA ME,Inativo,2016-02-01,,5000
195,10628270000103,Windi,WINDI DESENVOLVIMENTO DE SOFTWARE LTDA ME,Inativo,2016-02-01,(47) 3041-7883,5000
196,09451699000180,CONVISO,CONVISO APPLICATION SECURITY SA,Inativo,2016-02-02,,5000
197,11908917000105,3MD,3MD TECNOLOGIA LTDA ME,Inativo,2016-02-02,,5000
198,50924539000105,Grupo Uliana,COMERCIO DE MADEIRAS ULIANA LTDA,Inativo,2016-02-02,(19) 3437-3737,5000
199,05206246000138,ContaAzul,CONTAAZUL SOFTWARE LTDA,Inativo,2016-02-04,,5000
200,07767754000110,Stormtech,STORMTECH DESENVOLVIMENTO DE SISTEMAS E CONTABILIDADE LTDA - ME,Inativo,2016-02-04,(48) 3024-3649,5000
201,11269225000164,Avantare,AVANTE SOLUÇÕES INTERNET LTDA.,Inativo,2016-02-04,,5000
202,12980776000102,Mercafácil,INOVATECH NETWORK LTDA,Ativo,2016-02-12,(41) 9205-4445,5000
203,07395459000180,SEQUOR AUTOMAÇÃO E SISTEMAS LTDA,SEQUOR AUTOMAÇÃO E SISTEMAS LTDA,Ativo,2016-02-12,(51) 3462-0600,5000
204,18486740000145,Solvus,PAVEI SISTEMAS LTDA ME,Inativo,2016-02-12,(31) 99176-6390,5000
205,14190675000155,Dental Cremer,DENTAL CREMER PRODUTOS ODONTOLÓGICOS S.A.,Inativo,2016-02-15,(11) 98244-1670,5000
206,15424748000199,Proxsis,PROXSIS SISTEMAS EIRELI EPP,Inativo,2016-02-15,,5000
207,01097735000148,Harbor,HARBOR INFORMÁTICA INDUSTRIAL LTDA,Inativo,2016-02-15,(48) 3333-2249,5000
208,80348618000186,SERCOMPE,SERCOMPE COMPUTADORES LTDA,Inativo,2016-02-16,(47) 3431-9700,5000
209,09168425000189,NEOASSIST,NEOASSIST.COM S/A,Inativo,2016-02-16,(11) 3323-3456,5000
210,09002711000170,ERP FLEX,TI SERVIÇOS E PRODUTOS DE INFORMATICA LTDA,Inativo,2016-02-17,(21) 96703-2022,5000
211,10228279000119,Scitec,SCITEC SOLUÇÕES EM ENSAIOS DE MATERIAIS E PRODUTOS LTDA,Inativo,2016-02-17,(48) 3246-6652,5000
212,08678212000134,JPR Gestão,JPR GESTAO EMPRESARIAL E AUDITORIA LTDA,Inativo,2016-02-17,(17) 9972-9367,5000
213,12393306000134,E-Dialog,E-DIALOG SERVIÇOS PARA INTERNET,Inativo,2016-02-18,(32) 3026-2640,5000
215,14408277000162,Patrimono,Patrimono Agente Autonomo de Investimentos S/S LTDA,Inativo,2016-02-18,,5000
216,17505290000128,VIZII,VIZII COMUNICACAO LTDA. - EPP,Inativo,2016-02-18,,5000
217,05814441000140,SAM 24h,PREMIER SEGURANÇA ELETRONICA,Inativo,2016-02-21,,5000
218,08370779000149,MAINÔ,MAINÔ SISTEMAS DE INFORMÁTICA LTDA,Ativo,2016-02-23,(21) 2224-5777,5000
220,01726867000191,HD TECNOLOGIA,HD TECNOLOGIA EM INFORMAÇÃO LTDA,Inativo,2016-02-23,,5000
221,62445861000130,KIIR,"KIIR INDUSTRIA, COMÉRCIO E CONSTRUÇÃO LTDA.",Inativo,2016-02-23,,5000
222,10299289000145,Itelligence Group,ITELLIGENCE GROUP SERV. DE SEG. DO TRAB. E CONTRA INC. EIRELI - EPP,Inativo,2016-02-23,(11) 3331-1041,5000
223,22669110000183,Booking Med,BOOKINGMED WEB E SERVIÇOS ONLINE,Inativo,2016-02-24,,5000
224,14304432000109,GNTECH,GNTECH EXAMES LTDA,Inativo,2016-02-24,,5000
225,00089877000109,TECLÓGICA MOBUSS,TECLÓGICA SERVIÇOS EM INFORMÁTICA LTDA,Ativo,2016-02-24,,5000
228,18195221000128,4 MM,4MM INOVAÇÕES EM NEGÓCIOS LTDA,Inativo,2016-03-01,(34) 98411-0555,5000
229,02244592000112,Sigga,WBR Cosultoria SA,Inativo,2016-03-01,(11) 95321-0234,5000
230,02067638000175,NEC PLUS ULTRA GESTÃO & TECNOLOGIA,NEC PLUS ULTRA GESTÃO & TECNOLOGIA,Inativo,2016-03-01,(48) 8411-5090,5000
231,05603236000136,Plano A,AITOR MARIN PETRENAS ME,Inativo,2016-03-01,(11) 96909-3067,5000
232,06934208000164,Grou Inativo,Grou Inativo,Inativo,2016-03-01,51999999999,5000
233,08936876000156,Promotion,Promotion Comercio e Servico Ltda,Inativo,2016-03-01,(48) 9122-2683,5000
234,00530341000179,Vh Soluções,Vh Informatica Ltda,Inativo,2016-03-01,(48) 3028-1281,5000
235,16844641000162,Área Central,Área Central Sistemas e Consultoria S/A,Ativo,2016-03-02,,5000
236,12350970000104,EITI,EITI SOLUCOES DE TECNOLOGIA LTDA,Ativo,2016-03-02,,5000
237,05886896000171,CLIPPING EXPRESS MITI,CLIPPING EXPRESS - SERVIÇOS DE INFOMAÇÕES,Inativo,2016-03-03,,5000
238,79283065000141,ORBENK,ORBENK ADMINISTRAÇÃO E SERVIÇOS LTDA,Inativo,2016-03-03,,5000
239,06246012000187,Softvar,SOFTVAR SOLUÇÕES EM INFORMÁTICA LTDA,Inativo,2016-03-03,(11) 2503-1007,5000
240,08265503000109,NITRODEV,NITRODEV SISTEMAS DE INFORMAÇÃO LTDA,Inativo,2016-03-03,,5000
241,05563165000195,Acesso Digital,Acesso Digital Tecnologia da Informação Ltda,Inativo,2016-03-04,,5000
242,10845611000194,Pedra Branca,PEDRA BRANCA EMPREENDIMENTOS IMOBILIARIOS S/A,Inativo,2016-03-04,(48) 3086-9755 / (48) 3203-1100,5000
243,06236935000158,(VALUE NET) Via Consultoria S/A,Via Consultoria S/A,Inativo,2016-03-04,,5000
244,17275983000171,Lider Bebedouros,LIDER INDÚSTRIA E COMÉRCIO LTDA,Inativo,2016-03-08,(31) 3524-3200,5000
245,01275335000185,FlorySoftT,FlorySoftT Qualidade em Sistemas Ltda,Inativo,2016-03-08,,5000
246,16695624000100,FLACH,FLACH IND. DE CARREGADORES E EQUIPAMENTOS ELÉTRICOS LTDA,Inativo,2016-03-08,,5000
247,01064789000107,W3 NET,W3 INFORMATICA LTDA,Inativo,2016-03-08,,5000
248,06249112000167,CONDOR,CONDOR INTERNACIONAL EIRELI,Inativo,2016-03-08,,5000
249,14717479000196,VITALE,"VITALE INOVAÇÃO, PESQUISA E DESENVOLVIMENTO EIRELI",Inativo,2016-03-08,,5000
250,03966578000195,UseFashion,Sistema UseFashion de Informações Ltda.,Inativo,2016-03-08,(51) 3550-1088,5000
252,15073013000168,DG5,ALESSANDRO MATHIAS DE OLIVEIRA ME,Inativo,2016-03-09,(55) 3222-6217,5000
253,22908229000161,Savana Comunicacao EIRELI ME,Savana Comunicação,Inativo,2016-03-09,(31) 3026-0738,5000
254,00089877000109,TECLOGICA SERVIÇOS EM INFORMÁTICA LTDA 2,TECLOGICA SERVIÇOS EM INFORMÁTICA LTDA,Inativo,2016-03-09,,5000
255,00089877000109,TECLOGICA SERVIÇOS EM INFORMÁTICA LTDA 3,TECLOGICA SERVIÇOS EM INFORMÁTICA LTDA,Inativo,2016-03-09,,5000
256,05387893000193,DFE,DFE Tecnologia LTDA,Ativo,2016-03-09,(48) 3035-7264,5000
258,19326184000102,Wishbox,Materialize Solucoes em Tecnologia Ltda. Me.,Inativo,2016-03-14,,5000
259,14855236000114,Mateada,Mateada Servicos de Internet LTDA,Inativo,2016-03-14,(51) 3516-8137,5000
261,11396327000140,Mamut Strong,Sodre e Bittar Ltda,Inativo,2016-03-14,(62) 9627-6452,5000
262,02807150000137,Softsystem,SOFTSYSTEM ENGENHARIA EM SOFTWARE LTDA,Inativo,2016-03-14,(61) 9966-0028,5000
263,05209279000131,Confiance Medical,Confiance Medical Produtos Médicos Ltda,Inativo,2016-03-14,(21) 98142-7842,5000
265,18433291000177,ADM S.A.,ADVANCED DESIGN IN MANAGEMENT SERVIÇOS DE ADMINISTRAÇÃO S.A.,Inativo,2016-03-15,,5000
266,10673919000108,B&C Inteligência,BRANDÃO E COSTA PRESTAÇÃO DE SERV. DE DIG. LTDA ME,Inativo,2016-03-15,,5000
267,11891733000180,BLive,SSX TECNOLOGIA DA INFORMACAO S/A,Inativo,2016-03-15,,5000
